ObtenRelojDatosEmps X, 3046, '2017/08/15', '07:18:25', 'N', ' ', ' '
ObtenRelojDatosEmps X, 1002, '2017/08/15', '07:18:32', 'N', ' ', ' '
ObtenRelojDatosEmps X, 1000, '2017/08/15', '07:18:35', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3031, '2017/08/15', '07:21:00', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3017, '2017/08/15', '07:21:13', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3102, '2017/08/15', '07:21:16', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3103, '2017/08/15', '07:21:19', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3027, '2017/08/15', '07:21:22', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3021, '2017/08/15', '07:21:24', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3101, '2017/08/15', '07:21:27', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3089, '2017/08/15', '07:21:29', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3076, '2017/08/15', '07:21:32', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3018, '2017/08/15', '07:21:34', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3019, '2017/08/15', '07:21:36', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3057, '2017/08/15', '07:21:39', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3071, '2017/08/15', '07:21:41', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3054, '2017/08/15', '07:21:44', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3077, '2017/08/15', '07:21:46', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3055, '2017/08/15', '07:21:49', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3056, '2017/08/15', '07:21:52', 'N', ' ', ' '
ObtenRelojDatosEmps X, 388, '2017/08/15', '07:23:05', 'N', ' ', ' '
ObtenRelojDatosEmps X, 333, '2017/08/15', '07:23:31', 'N', ' ', ' '
ObtenRelojDatosEmps X, 383, '2017/08/15', '07:23:34', 'N', ' ', ' '
ObtenRelojDatosEmps X, 316, '2017/08/15', '07:23:37', 'N', ' ', ' '
ObtenRelojDatosEmps X, 337, '2017/08/15', '07:23:39', 'N', ' ', ' '
ObtenRelojDatosEmps X, 339, '2017/08/15', '07:23:42', 'N', ' ', ' '
ObtenRelojDatosEmps X, 340, '2017/08/15', '07:23:44', 'N', ' ', ' '
ObtenRelojDatosEmps X, 315, '2017/08/15', '07:23:47', 'N', ' ', ' '
ObtenRelojDatosEmps X, 633, '2017/08/15', '07:26:53', 'N', ' ', ' '
ObtenRelojDatosEmps X, 702, '2017/08/15', '07:27:54', 'N', ' ', ' '
ObtenRelojDatosEmps X, 703, '2017/08/15', '07:27:58', 'N', ' ', ' '
ObtenRelojDatosEmps X, 1022, '2017/08/15', '07:31:30', 'N', ' ', ' '
ObtenRelojDatosEmps X, 332, '2017/08/15', '07:37:58', 'N', ' ', ' '
ObtenRelojDatosEmps X, 321, '2017/08/15', '07:38:01', 'N', ' ', ' '
ObtenRelojDatosEmps X, 307, '2017/08/15', '07:38:02', 'N', ' ', ' '
ObtenRelojDatosEmps X, 326, '2017/08/15', '07:38:04', 'N', ' ', ' '
ObtenRelojDatosEmps X, 354, '2017/08/15', '07:38:07', 'N', ' ', ' '
ObtenRelojDatosEmps X, 309, '2017/08/15', '07:38:08', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3062, '2017/08/15', '07:38:10', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3012, '2017/08/15', '07:38:14', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3023, '2017/08/15', '07:38:14', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3049, '2017/08/15', '07:38:17', 'N', ' ', ' '
ObtenRelojDatosEmps X, 2000, '2017/08/15', '07:43:08', 'N', ' ', ' '
ObtenRelojDatosEmps X, 2007, '2017/08/15', '07:43:47', 'N', ' ', ' '
ObtenRelojDatosEmps X, 2013, '2017/08/15', '07:44:01', 'N', ' ', ' '
ObtenRelojDatosEmps X, 202, '2017/08/15', '07:45:07', 'N', ' ', ' '
ObtenRelojDatosEmps X, 205, '2017/08/15', '07:45:11', 'N', ' ', ' '
ObtenRelojDatosEmps X, 204, '2017/08/15', '07:45:14', 'N', ' ', ' '
ObtenRelojDatosEmps X, 203, '2017/08/15', '07:45:16', 'N', ' ', ' '
ObtenRelojDatosEmps X, 209, '2017/08/15', '07:45:20', 'N', ' ', ' '
